Nombre	Fecha	Hora	 N Modulo	Pmp	Vmp	Imp	Isc	Voc	FF	Sensor  1 T	Sensor  2 T	Sensor  3 T	Sensor  4 T	Sensor  5 B	Sensor  6 B	Sensor  7 B	Sensor  8 B	Sensor  9 AI	Sensor  10 AI	Sensor  11 AI	Sensor  12 AI	
RR2000	04/03/2023	10:43:46	 2,000	 128,8	 14,63	 8,799	 9,533	 21,17	 0,6382	 0,000	 30,39	 0,000	 0,000	 0,09996	 0,06441	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	10:43:58	 3,000	 129,3	 14,70	 8,797	 9,621	 21,18	 0,6347	 0,000	 0,000	 30,03	 0,000	 0,09996	 0,06454	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	10:44:08	 4,000	 145,6	 16,19	 8,998	 9,643	 21,42	 0,7050	 0,000	 0,000	 0,000	 29,95	 0,09996	 0,06446	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	10:44:20	 1,000	 120,5	 15,19	 7,935	 9,388	 21,09	 0,6088	 29,33	 0,000	 0,000	 0,000	 0,09996	 0,06449	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	10:44:30	 2,000	 128,2	 14,60	 8,779	 9,558	 21,12	 0,6351	 0,000	 31,56	 0,000	 0,000	 0,09996	 0,06451	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	10:44:42	 3,000	 128,8	 14,67	 8,778	 9,597	 21,12	 0,6352	 0,000	 0,000	 30,98	 0,000	 0,09996	 0,06459	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	10:44:52	 4,000	 145,0	 16,16	 8,974	 9,649	 21,36	 0,7038	 0,000	 0,000	 0,000	 31,26	 0,09996	 0,06451	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	10:45:04	 1,000	 120,3	 15,18	 7,927	 9,416	 21,04	 0,6072	 30,84	 0,000	 0,000	 0,000	 0,09996	 0,06456	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	10:45:14	 2,000	 127,8	 14,59	 8,761	 9,568	 21,06	 0,6343	 0,000	 31,94	 0,000	 0,000	 0,09996	 0,06462	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	10:45:26	 3,000	 128,2	 14,63	 8,763	 9,646	 21,07	 0,6311	 0,000	 0,000	 31,95	 0,000	 0,09996	 0,06465	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	10:45:36	 4,000	 144,8	 16,15	 8,966	 9,670	 21,32	 0,7023	 0,000	 0,000	 0,000	 31,96	 0,09996	 0,06458	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	10:45:48	 1,000	 120,1	 15,18	 7,911	 9,401	 21,02	 0,6078	 30,87	 0,000	 0,000	 0,000	 0,09996	 0,06462	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
